Job_Title,Company_Name,Ratings,Location,Salary_Estimates,Company_Size,Founding_Year,Type,Industry,Sector,Revenue,Min_Salary,Max_Salary,Avg_Salary,Age
"Benefits Analyst, Total Rewards",Kimberly-Clark,4.0,Pune,3 - 8 ,10000+ Employees,1872,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),3.0,8.0,5.5,153
Senior Credit Risk Analyst,BP Energy,3.9,Pune,4 - 7 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),4.0,7.0,5.5,117
FP&A Analytics & Digitization Sustain Senior Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
Supply Chain Transformation - Performance Analyst,BP Energy,3.9,Pune,5 - 12 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),5.0,12.0,8.5,117
Associate Data Analyst,Optum,3.5,Hyderābād,2 - 10 ,10000+ Employees,-1,Company - Public,Healthcare Services & Hospitals,Healthcare,$10+ billion (USD),2.0,10.0,6.0,-1
Data Analyst,Autodesk,4.2,Bengaluru,1 ,10000+ Employees,1982,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),6.0,8.0,7.0,43
"Sustainability Analyst, Data and Reporting",JLL,3.8,Bengaluru,6 - 8 ,10000+ Employees,-1,Company - Public,Real estate,Real estate,$5 to $10 billion (USD),4.0,8.0,6.0,-1
Data Analyst / PMS Analyst,JiBe ERP,3.6,Navi Mumbai,4 - 8 ,201 to 500 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,5.0,7.0,6.0,10
Aladdin Financial Engineering Quantitative Research Associate,BlackRock Investments,3.9,Gurgaon,5 - 7 ,10000+ Employees,1988,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),3.0,6.0,4.5,37
Data Analyst,PradeepIT Consulting Services,4.6,Pune,3 - 6 ,51 to 200 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),5.0,8.0,6.5,17
Data Operations Analyst,BP Energy,3.9,Pune,5 - 8 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,12.0,9.5,117
"Category Management Analyst, Center of Store",BP Energy,3.9,Pune,7 - 12 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
